,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,WicketTaker
DT Christian,19.09090909090909,30.0,7.228915662650603,1.1965811965811965,0.5584045584045584,24.9
DL Chahar,14.0,110.0,8.571428571428571,2.3333333333333335,2.0,77.0
LPC Silva,20.0,21.0,21.0,1.4814814814814814,0.9629629629629629,6.0
T Henderson,11.0,40.0,6.666666666666667,0.6875,0.375,36.0
S Nadeem,2.6,35.0,6.83377308707124,0.36619718309859156,0.056338028169014086,30.72972972972973
MA Agarwal,17.933333333333334,0.0,0.0,1.1798245614035088,0.7690058479532164,0.0
Mohammed Shami,6.571428571428571,49.111111111111114,8.04855842185129,1.0,0.6086956521739131,36.611111111111114
TR Birt,15.0,0.0,0.0,1.271186440677966,0.8135593220338984,0.0
R McLaren,26.5,43.333333333333336,8.387096774193548,0.8932584269662921,0.34831460674157305,31.0
Basil Thampi,26.0,37.63636363636363,8.93525179856115,1.0,0.38461538461538464,25.272727272727273
B Lee,17.714285714285715,41.68,6.82532751091703,1.2156862745098038,0.7843137254901961,36.64
VS Malik,7.0,42.333333333333336,7.188679245283019,1.0,0.5714285714285714,35.333333333333336
SA Yadav,22.51851851851852,8.0,8.0,1.269311064718163,0.7139874739039666,6.0
Kamran Khan,3.0,22.8,7.728813559322034,0.6,0.0,17.7
PA Reddy,18.22222222222222,0.0,0.0,0.9820359281437125,0.4311377245508982,0.0
AC Thomas,20.0,27.071428571428573,7.359223300970874,1.0526315789473684,0.5263157894736842,22.071428571428573
JE Taylor,3.0,25.333333333333332,7.475409836065574,0.75,0.0,20.333333333333332
UBT Chand,15.0,0.0,0.0,0.9554140127388535,0.5796178343949044,0.0
MV Boucher,30.307692307692307,0.0,0.0,1.2389937106918238,0.6477987421383647,0.0
AS Raut,24.714285714285715,44.0,8.8,1.1161290322580646,0.5032258064516129,30.0
JDP Oram,13.25,38.0,8.40983606557377,0.9636363636363636,0.4909090909090909,27.11111111111111
AB Dinda,3.25,28.797101449275363,7.5028319697923225,0.52,0.16,23.028985507246375
D Kalyankrishna,3.0,42.5,10.2,0.375,0.0,25.0
R Shukla,19.0,39.6,9.138461538461538,0.8260869565217391,0.34782608695652173,26.0
R Dhawan,25.5,33.666666666666664,7.087719298245614,1.1333333333333333,0.562962962962963,28.5
SE Bond,1.0,24.22222222222222,6.848167539267016,0.5,0.0,21.22222222222222
Anureet Singh,8.25,34.642857142857146,8.174157303370787,0.7674418604651163,0.32558139534883723,25.428571428571427
Ishan Kishan,24.636363636363637,0.0,0.0,1.2488479262672811,0.8202764976958525,0.0
CL White,31.322580645161292,81.0,10.565217391304348,1.2545219638242895,0.6873385012919897,46.0
U Kaul,0.0,0.0,0.0,0.0,0.0,0.0
